132	 463724612500
126	 2708264900
90	 23840039700
76	 106202820900
71	 58318516600
71	 105068368000
71	 118887360800
71	 132088527200
71	 145519568200
71	 158673607400
71	 206978044400
71	 274367221000
71	 298597811500
71	 468590398200
69	 80457202300
69	 157027258300
68	 170236882100
67	 14482296200
67	 16560892700
67	 69849441200
66	 410766288500
65	 65561396100
63	 36856447900
63	 46891869000
62	 14267098000
62	 115391639300
61	 6467183600
61	 52667577400
60	 77489462700
60	 120424709900
58	 17304247300
57	 349196732000
51	 10165176700
51	 10932052600
44	 25985007200
42	 20518593900
40	 41628484900
39	 15466601000
37	 2452443700
37	 11852489500
37	 77085190400
21	 24900891800
13	 7845852299
